,Anchorage_100,Anchorage_101,mean,std
1000,12.55,0.0,6.275,6.275
1002,11.04,0.0,5.52,5.52
1003,24.27,1.0,12.635,11.635
1004,22.48,0.0,11.24,11.24
1006,4.720000000000001,1.0,2.8600000000000003,1.8600000000000003
1007,0.0,0.0,0.0,0.0
1008,17.24,15.42,16.33,0.9099999999999993
1009,1.0,,1.0,0.0
1010,0.0,0.0,0.0,0.0
1011,2.0,15.37,8.684999999999999,6.685
1015,13.51,,13.51,0.0
1017,11.0,,11.0,0.0
1018,8.0,10.0,9.0,1.0
1019,8.91,11.0,9.955,1.045
1020,10.5,,10.5,0.0
1021,12.57,11.97,12.27,0.2999999999999998
1023,11.49,11.79,11.64,0.14999999999999947
1024,10.57,13.46,12.015,1.4450000000000003
1025,11.64,12.03,11.835,0.1949999999999994
1026,13.44,12.99,13.215,0.22499999999999964
1028,11.57,,11.57,0.0
1030,10.96,,10.96,0.0
1031,5.7,10.03,7.865,2.1649999999999996
1032,1.0,10.11,5.555,4.555
1034,0.0,,0.0,0.0
1035,0.9,,0.9,0.0
1036,2.59,0.0,1.295,1.295
1037,1.0,0.0,0.5,0.5
1038,16.33,,16.33,0.0
1039,1.0,2.0,1.5,0.5
1040,0.0,0.0,0.0,0.0
1041,13.02,1.0,7.01,6.01
1042,11.09,0.22,5.655,5.4350000000000005
1043,10.0,,10.0,0.0
1044,8.27,0.0,4.135,4.135
1046,7.0,,7.0,0.0
1047,8.0,13.45,10.725,2.7249999999999996
1050,9.11,13.02,11.065,1.955
1051,7.62,12.0,9.81,2.19
1052,10.39,15.0,12.695,2.3049999999999997
1053,9.48,15.0,12.24,2.76
1054,7.68,9.0,8.34,0.6600000000000001
1055,8.36,,8.36,0.0
1057,1.0,,1.0,0.0
1058,0.0,8.88,4.44,4.44
1059,1.0,7.67,4.335,3.335
1060,0.0,10.12,5.06,5.06
1061,0.0,11.75,5.875,5.875
1063,0.0,,0.0,0.0
1064,0.0,11.84,5.92,5.920000000000001
1065,0.0,10.38,5.19,5.19
1066,0.0,11.03,5.515,5.515
1067,1.0,10.82,5.91,4.91
1068,0.0,12.83,6.415,6.415
1071,0.0,9.59,4.795,4.795
1072,12.0,10.92,11.46,0.54
1074,11.0,,11.0,0.0
